time,type,quantity,medium,median,pers90,pers99,max
22.00.00,1,42,0.00024742857142857135,0.00024700000000000004,0.000276,0.000291,0.000291
22.00.00,3,39,0.000217923076923077,0.000212,0.000232,0.000332,0.000332
22.00.00,11,14,0.00022785714285714285,0.0002205,0.000257,0.000311,0.000311
22.00.00,9,15,0.00027853333333333335,0.000272,0.000316,0.000324,0.000324
22.00.01,1,87,0.00024920689655172416,0.000248,0.000276,0.000305,0.000315
22.00.01,3,92,0.00021385869565217392,0.00021,0.000235,0.000328,0.000332
22.00.01,11,18,0.00022816666666666664,0.000227,0.000248,0.000311,0.000311
22.00.01,9,18,0.00027449999999999995,0.000271,0.000312,0.000324,0.000324
22.00.02,1,131,0.00025083206106870233,0.000248,0.000274,0.000329,0.000538
22.00.02,3,135,0.00021606666666666667,0.000211,0.000254,0.000331,0.000332
22.00.02,11,18,0.00022816666666666664,0.000227,0.000248,0.000311,0.000311
22.00.02,9,18,0.00027449999999999995,0.000271,0.000312,0.000324,0.000324
22.00.03,1,167,0.0002492155688622755,0.000247,0.000271,0.000315,0.000538
22.00.03,3,167,0.00021630538922155678,0.000211,0.000249,0.000331,0.000405
22.00.03,11,19,0.00022836842105263157,0.000228,0.000248,0.000311,0.000311
22.00.03,9,18,0.00027449999999999995,0.000271,0.000312,0.000324,0.000324
22.00.04,1,226,0.0002482300884955754,0.000246,0.000271,0.000328,0.000538
22.00.04,3,229,0.00021885589519650647,0.000211,0.000261,0.000344,0.000435
22.00.04,11,19,0.00022836842105263157,0.000228,0.000248,0.000311,0.000311
22.00.04,9,19,0.0002733157894736842,0.00027,0.000312,0.000324,0.000324
22.00.04,40,1,0.000308,0.000308,0.000308,0.000308,0.000308
22.00.05,1,273,0.00024663736263736276,0.000246,0.000269,0.000315,0.000538
22.00.05,3,276,0.0002169202898550723,0.000211,0.000253,0.00034,0.000435
22.00.05,11,20,0.00022785,0.000227,0.000248,0.000311,0.000311
22.00.05,9,19,0.0002733157894736842,0.00027,0.000312,0.000324,0.000324
22.00.05,40,1,0.000308,0.000308,0.000308,0.000308,0.000308
22.00.06,1,328,0.00024608841463414656,0.000245,0.000268,0.000326,0.000538
22.00.06,3,328,0.00021626829268292695,0.00021,0.000253,0.00034,0.000435
22.00.06,11,21,0.00022780952380952382,0.000227,0.000248,0.000311,0.000311
22.00.06,9,20,0.0002717,0.0002645,0.000312,0.000324,0.000324
22.00.06,40,1,0.000308,0.000308,0.000308,0.000308,0.000308
22.00.07,1,380,0.000245123684210526,0.000245,0.000267,0.000315,0.000538
22.00.07,3,373,0.00021633243967828425,0.00021,0.000254,0.000338,0.000435
22.00.07,11,21,0.00022780952380952382,0.000227,0.000248,0.000311,0.000311
22.00.07,9,20,0.0002717,0.0002645,0.000312,0.000324,0.000324
22.00.07,40,1,0.000308,0.000308,0.000308,0.000308,0.000308
22.00.08,1,426,0.0002449741784037557,0.000245,0.000267,0.000315,0.000538
22.00.08,3,417,0.00021612470023980835,0.00021,0.000257,0.000338,0.000435
22.00.08,11,24,0.00022716666666666667,0.0002275,0.000248,0.000311,0.000311
22.00.08,9,24,0.0002680833333333333,0.0002575,0.000312,0.000324,0.000324
22.00.08,40,1,0.000308,0.000308,0.000308,0.000308,0.000308
22.00.09,1,476,0.00024563445378151253,0.000245,0.000268,0.000326,0.000538
22.00.09,3,470,0.00021722127659574446,0.000211,0.000261,0.000338,0.000435
22.00.09,11,26,0.0002281923076923077,0.00022850000000000002,0.000245,0.000311,0.000311
22.00.09,9,26,0.0002658076923076923,0.0002555,0.000305,0.000324,0.000324
22.00.09,40,2,0.000277,0.000277,0.000308,0.000308,0.000308
22.00.10,1,522,0.00024538697318007645,0.000245,0.000268,0.000326,0.000538
22.00.10,3,512,0.00021665820312500008,0.000211,0.000258,0.000338,0.000435
22.00.10,11,28,0.00022689285714285715,0.0002275,0.000245,0.000311,0.000311
22.00.10,9,29,0.0002641724137931034,0.000255,0.000305,0.000324,0.000324
22.00.10,40,2,0.000277,0.000277,0.000308,0.000308,0.000308
22.00.11,1,583,0.0002456655231560884,0.000245,0.000269,0.000328,0.000538
22.00.11,3,575,0.00021729391304347868,0.000211,0.000261,0.000334,0.000435
22.00.11,11,29,0.00022813793103448277,0.000228,0.000248,0.000311,0.000311
22.00.11,9,30,0.0002648666666666666,0.0002555,0.000305,0.000324,0.000324
22.00.11,40,2,0.000277,0.000277,0.000308,0.000308,0.000308
22.00.12,1,655,0.00024572519083969406,0.000244,0.000269,0.000328,0.000538
22.00.12,3,657,0.00021774277016742795,0.000211,0.000261,0.000332,0.000435
22.00.12,11,35,0.00022608571428571424,0.000226,0.000257,0.000311,0.000311
22.00.12,9,34,0.00026408823529411763,0.0002575,0.000305,0.000324,0.000324
22.00.12,40,2,0.000277,0.000277,0.000308,0.000308,0.000308
22.00.13,1,704,0.00024603409090909125,0.000244,0.00027,0.00033,0.000538
22.00.13,3,705,0.00021756879432624157,0.000211,0.000261,0.000332,0.000435
22.00.13,11,35,0.00022608571428571424,0.000226,0.000257,0.000311,0.000311
22.00.13,9,34,0.00026408823529411763,0.0002575,0.000305,0.000324,0.000324
22.00.13,40,2,0.000277,0.000277,0.000308,0.000308,0.000308
22.00.14,1,759,0.00024572859025033,0.000244,0.000269,0.000329,0.000538
22.00.14,3,762,0.00021766010498687716,0.000211,0.00026,0.000332,0.000569
22.00.14,11,37,0.00022724324324324322,0.000227,0.000254,0.000311,0.000311
22.00.14,9,37,0.0002636756756756757,0.000256,0.000304,0.000324,0.000324
22.00.14,40,3,0.00027666666666666665,0.000276,0.000308,0.000308,0.000308
22.00.15,1,804,0.0002456878109452742,0.000244,0.00027,0.000329,0.000538
22.00.15,3,804,0.00021768905472636861,0.000211,0.000259,0.000334,0.000569
22.00.15,11,54,0.00022922222222222219,0.0002275,0.000263,0.000298,0.000311
22.00.15,9,53,0.0002703584905660377,0.000259,0.000316,0.000326,0.000459
22.00.15,40,3,0.00027666666666666665,0.000276,0.000308,0.000308,0.000308
22.00.16,1,858,0.0002455268065268072,0.000244,0.00027,0.000329,0.000538
22.00.16,3,857,0.0002176301050175034,0.000211,0.000259,0.000332,0.000569
22.00.16,11,57,0.00023056140350877195,0.000228,0.000263,0.000298,0.000311
22.00.16,9,56,0.00026926785714285713,0.0002575,0.000312,0.000326,0.000459
22.00.16,40,3,0.00027666666666666665,0.000276,0.000308,0.000308,0.000308
22.00.17,1,904,0.0002452721238938059,0.0002435,0.00027,0.000329,0.000538
22.00.17,3,898,0.0002174587973273947,0.000211,0.000258,0.000332,0.000569
22.00.17,11,57,0.00023056140350877195,0.000228,0.000263,0.000298,0.000311
22.00.17,9,57,0.00026943859649122804,0.000259,0.000312,0.000326,0.000459
22.00.17,40,3,0.00027666666666666665,0.000276,0.000308,0.000308,0.000308
22.00.18,1,961,0.00024558064516129084,0.000244,0.000271,0.000328,0.000538
22.00.18,3,958,0.00021825365344467664,0.000211,0.000259,0.000338,0.000569
22.00.18,11,66,0.00023346969696969697,0.0002295,0.000265,0.000308,0.000311
22.00.18,9,66,0.00026759090909090916,0.0002555,0.000312,0.000326,0.000459
22.00.18,40,3,0.00027666666666666665,0.000276,0.000308,0.000308,0.000308
22.00.19,1,1002,0.0002453612774451104,0.000244,0.00027,0.000328,0.000538
22.00.19,3,997,0.0002181253761283851,0.000211,0.000258,0.00034,0.000569
22.00.19,11,69,0.00023476811594202895,0.00023,0.000277,0.000308,0.000311
22.00.19,9,71,0.00026646478873239445,0.000255,0.000312,0.000326,0.000459
22.00.19,40,3,0.00027666666666666665,0.000276,0.000308,0.000308,0.000308
22.00.20,1,1057,0.0002452421948912022,0.000243,0.000271,0.000326,0.000538
22.00.20,3,1051,0.00021837868696479503,0.000211,0.000259,0.00034,0.000569
22.00.20,11,72,0.00023374999999999996,0.00022850000000000002,0.000277,0.000308,0.000311
22.00.20,9,75,0.00026529333333333337,0.000255,0.000312,0.000326,0.000459
22.00.20,40,3,0.00027666666666666665,0.000276,0.000308,0.000308,0.000308
22.00.21,1,1116,0.0002451666666666672,0.000243,0.00027,0.000326,0.000538
